0.000000 0.000000 0.000000 0.000000
0.326531 0.000000 0.000000 0.000000
0.653061 0.000000 0.000000 0.000000
0.979592 0.000000 0.000000 0.000000
1.306122 -0.061224 -0.061224 0.000000
1.632653 -0.126531 -0.126531 0.000000
1.959184 -0.191837 -0.191837 0.000000
2.285714 -0.257143 -0.257143 0.000000
2.612245 -0.322449 -0.322449 0.000000
2.938776 -0.387755 -0.387755 0.000000
3.265306 -0.453061 -0.453061 0.000000
3.591837 -0.518367 -0.518367 0.000000
3.918367 -0.583673 -0.583673 0.000000
4.244898 -0.648980 -0.648980 0.000000
4.571429 -0.714286 -0.714286 0.000000
4.897959 -0.779592 -0.779592 0.000000
5.224490 -0.844898 -0.844898 0.000000
5.551020 -0.910204 -0.910204 0.000000
5.877551 -0.975510 -0.975510 0.000000
6.204082 -0.959184 -0.959184 0.000000
6.530612 -0.893878 -0.893878 0.000000
6.857143 -0.828571 -0.828571 0.000000
7.183673 -0.763265 -0.763265 0.000000
7.510204 -0.697959 -0.697959 0.000000
7.836735 -0.632653 -0.632653 0.000000
8.163265 -0.567347 -0.567347 0.000000
8.489796 -0.502041 -0.502041 0.000000
8.816327 -0.436735 -0.436735 0.000000
9.142857 -0.371429 -0.371429 0.000000
9.469388 -0.306122 -0.306122 0.000000
9.795918 -0.240816 -0.240816 0.000000
10.122449 -0.175510 -0.175510 0.000000
10.448980 -0.110204 -0.110204 0.000000
10.775510 -0.044898 -0.044898 0.000000
11.102041 0.020408 0.020408 0.000000
11.428571 0.085714 0.085714 0.000000
11.755102 0.151020 0.151020 0.000000
12.081633 0.216327 0.216327 0.000000
12.408163 0.281633 0.281633 0.000000
12.734694 0.346939 0.346939 0.000000
13.061224 0.412245 0.412245 0.000000
13.387755 0.477551 0.477551 0.000000
13.714286 0.542857 0.542857 0.000000
14.040816 0.608163 0.608163 0.000000
14.367347 0.673469 0.673469 0.000000
14.693878 0.738776 0.738776 0.000000
15.020408 0.804082 0.804082 0.000000
15.346939 0.869388 0.869388 0.000000
15.673469 0.934694 0.934694 0.000000
16.000000 1.000000 1.000000 0.000000
